Brix,908.1,914294,920489,926683,932877,939072,945266,951.46,957655,963849,970044,976238,982432,988627,994821,1001015,1007.21,1013404,1019598,1025793,1031987,1038181,1044376,1050.57,1056764,1062959,1069153,1075348,1081542,1087736,1093931,1100125,1106319,1112514,1118708,1124902,1131097,1137291,1143485,1149.68,1155874,1162069,1168263,1174457,1180652,1186846,1193.04,1199235,1205429,1211623,1217818,1224012,1230206,1236401,1242595,1248789,1254984,1261178,1267373,1273567,1279761,1285956,1292.15,1298344,1304539,1310733,1316927,1323122,1329316,1335.51,1341705,1347899,1354094,1360288,1366482,1372677,1378871,1385065,1391.26,1397454,1403648,1409843,1416037,1422231,1428426,1434.62,1440814,1447009,1453203,1459398,1465592,1471786,1477981,1484175,1490369,1496564,1502758,1508952,1515147,1521341,1527535,1533.73,1539924,1546119,1552313,1558507,1564702,1570896,1577.09,1583285,1589479,1595673,1601868,1608062,1614256,1620451,1626645,1632839,1639034,1645228,1651423,1657617,1663811,1670006,1676.2,Vitamin C (mg/100 g)
14.56,-0.2877845,-0.2997378,-0.3106317,-0.3199423,-0.3291185,-0.3380287,-0.3436219,-0.3470079,-0.3491263,-0.3510982,-0.3523142,-0.3523493,-0.3524304,-0.3514232,-0.3495216,-0.3470653,-0.3474616,-0.3511023,-0.3561352,-0.3597855,-0.3619161,-0.3631055,-0.3635757,-0.3637329,-0.3645151,-0.3647709,-0.3657748,-0.3671736,-0.3691641,-0.3712777,-0.3734086,-0.3750186,-0.376147,-0.3773426,-0.3773791,-0.3763716,-0.373705,-0.370884,-0.3687618,-0.3659906,-0.3601821,-0.351774,-0.3459585,-0.3443906,-0.3431677,-0.3428556,-0.3440635,-0.3459817,-0.3466003,-0.3475613,-0.3490965,-0.3490441,-0.3477096,-0.3478052,-0.3498771,-0.3525438,-0.3534201,-0.3538911,-0.3538032,-0.3534702,-0.3542459,-0.3556395,-0.3558269,-0.3555995,-0.3549803,-0.3541066,-0.3530102,-0.3515034,-0.3494172,-0.3467802,-0.3433895,-0.3387654,-0.3325913,-0.3246526,-0.3173863,-0.3136983,-0.3117902,-0.309343,-0.3056269,-0.3009705,-0.2939159,-0.2843543,-0.2725744,-0.2586592,-0.2447376,-0.2319682,-0.2204578,-0.2099223,-0.1995848,-0.188239,-0.1769758,-0.1730056,-0.1792483,-0.1880059,-0.1934117,-0.1957194,-0.1962567,-0.1952607,-0.1928759,-0.1898154,-0.1866832,-0.1836283,-0.1807439,-0.1778637,-0.1750559,-0.1717961,-0.1695927,-0.1685347,-0.1683991,-0.1686002,-0.1689179,-0.1696566,-0.1709188,-0.1728015,-0.1748565,-0.1770389,-0.179232,-0.1812679,-0.1838006,-0.1866883,-0.189314,-0.1935578,-0.1993242,-0.2054656,-0.2109183,1975265
14.88,-0.296078,-0.3067961,-0.316283,-0.3243549,-0.3334447,-0.3428924,-0.3487954,-0.3522001,-0.3544429,-0.3562274,-0.3575135,-0.3575961,-0.3579458,-0.3579532,-0.3567728,-0.3551709,-0.3559797,-0.3593904,-0.3640721,-0.3675304,-0.3697328,-0.3712012,-0.3719598,-0.3725003,-0.373483,-0.3739358,-0.3752614,-0.3766411,-0.3786449,-0.3806941,-0.3826823,-0.3841385,-0.3850283,-0.3860386,-0.3858845,-0.3847894,-0.3821134,-0.3793625,-0.3773024,-0.3747876,-0.36946,-0.3616874,-0.35609,-0.3541319,-0.3525265,-0.3517298,-0.3526638,-0.3542235,-0.3548116,-0.3560516,-0.3581627,-0.3585087,-0.3579147,-0.358195,-0.3602927,-0.3628275,-0.3636552,-0.3641391,-0.3640725,-0.3637765,-0.3645153,-0.3659568,-0.3662195,-0.3661517,-0.365748,-0.3650043,-0.3640069,-0.3625192,-0.3603619,-0.357623,-0.354131,-0.3495171,-0.3434731,-0.3358094,-0.3287172,-0.3248506,-0.3226723,-0.3199911,-0.3160957,-0.3111537,-0.3037533,-0.2939494,-0.2820303,-0.268099,-0.2542889,-0.241744,-0.2305651,-0.2204576,-0.2106082,-0.1998687,-0.189169,-0.1854086,-0.1914884,-0.1999945,-0.2053093,-0.207599,-0.2082277,-0.2074501,-0.2053048,-0.2023902,-0.199477,-0.1966557,-0.1940642,-0.1913182,-0.1885391,-0.1851524,-0.1829246,-0.1820648,-0.182166,-0.1825534,-0.1830207,-0.1838321,-0.1851583,-0.1871424,-0.1892713,-0.1915587,-0.1937934,-0.1958957,-0.1984944,-0.2015965,-0.2047776,-0.2101214,-0.2175553,-0.2256473,-0.2329014,2240102115
15.12,-0.2867969,-0.2986191,-0.3087995,-0.3177823,-0.3280413,-0.3388437,-0.3452912,-0.3491702,-0.3519629,-0.3539812,-0.3552612,-0.3553334,-0.3552219,-0.3540944,-0.3513703,-0.3487951,-0.3491902,-0.3533044,-0.3591126,-0.3629122,-0.364929,-0.3657595,-0.3657283,-0.3660466,-0.3667243,-0.3671368,-0.3685596,-0.3700932,-0.37212,-0.3741904,-0.3763116,-0.3779489,-0.3790948,-0.3804008,-0.3805775,-0.3796044,-0.3767768,-0.3737364,-0.3715117,-0.3683794,-0.3616219,-0.3520224,-0.3455141,-0.3442006,-0.3431721,-0.3430384,-0.3446864,-0.3470034,-0.3475899,-0.3485022,-0.3498594,-0.3495261,-0.3475608,-0.3475892,-0.3499641,-0.3530736,-0.3540779,-0.3545689,-0.3543574,-0.3536813,-0.3543287,-0.3555238,-0.3554799,-0.3547854,-0.3538659,-0.3527845,-0.3515899,-0.3500093,-0.3479082,-0.3453433,-0.3419613,-0.3371131,-0.3302076,-0.3208857,-0.3122911,-0.3080254,-0.305872,-0.3031081,-0.2990374,-0.2941075,-0.286694,-0.2768843,-0.2649575,-0.2507702,-0.2363656,-0.222785,-0.2100592,-0.1979167,-0.1853302,-0.1708343,-0.1559047,-0.1505117,-0.159027,-0.170491,-0.1770944,-0.1792491,-0.1792498,-0.1768693,-0.1728989,-0.1680344,-0.1633308,-0.1588573,-0.1547065,-0.1508928,-0.1474897,-0.1438532,-0.1415158,-0.1407506,-0.1408941,-0.1412264,-0.1415735,-0.1422671,-0.1434311,-0.1452997,-0.1472706,-0.1495507,-0.1518201,-0.1539864,-0.156932,-0.1606558,-0.1648741,-0.1718216,-0.1815895,-0.1923609,-0.2020312,216211
15.1,-0.2993427,-0.308451,-0.3168919,-0.3230937,-0.3322075,-0.3425435,-0.3488405,-0.3524775,-0.3546185,-0.3564008,-0.3576685,-0.3576606,-0.3574615,-0.35672,-0.3548222,-0.3524401,-0.3530931,-0.3567298,-0.3618356,-0.365456,-0.3672581,-0.3684098,-0.3687556,-0.3690025,-0.3698769,-0.3702972,-0.3715942,-0.3729709,-0.3748934,-0.3769273,-0.3788649,-0.3803124,-0.3812323,-0.3824527,-0.3825988,-0.3816613,-0.3789896,-0.3762809,-0.3742229,-0.3715475,-0.3657248,-0.3574131,-0.3516965,-0.350302,-0.3492375,-0.3490438,-0.3502401,-0.3521415,-0.352753,-0.3536504,-0.3549776,-0.3548481,-0.353454,-0.3535644,-0.3556683,-0.358371,-0.3592575,-0.3597548,-0.3596717,-0.3593066,-0.3600751,-0.361419,-0.3615554,-0.3612741,-0.3606757,-0.3597669,-0.3586664,-0.3571683,-0.3550899,-0.3524998,-0.3491733,-0.3446991,-0.3386925,-0.3308578,-0.3236836,-0.3200704,-0.3181514,-0.3156673,-0.3118505,-0.3069536,-0.2996908,-0.2899337,-0.277899,-0.263786,-0.2497592,-0.2371009,-0.225912,-0.2158879,-0.2061652,-0.195655,-0.1854474,-0.1820769,-0.1883718,-0.1969768,-0.2023622,-0.2046564,-0.2051735,-0.204037,-0.2016322,-0.1983805,-0.1952342,-0.1922721,-0.1896197,-0.1869989,-0.1845006,-0.1815923,-0.1798713,-0.1793214,-0.1796527,-0.1803767,-0.1812179,-0.1824296,-0.1841344,-0.1863107,-0.1885126,-0.1907853,-0.1929885,-0.1949848,-0.1976946,-0.2011465,-0.2052755,-0.2124839,-0.2229822,-0.2348675,-0.2457629,2054738591
16.02,-0.3103785,-0.3173398,-0.3235148,-0.3275361,-0.3353876,-0.345355,-0.3513624,-0.3548302,-0.3572058,-0.3587934,-0.3599316,-0.3600582,-0.3600173,-0.3599361,-0.3590505,-0.357953,-0.3593743,-0.3625257,-0.3669388,-0.3702715,-0.3720984,-0.3735788,-0.374304,-0.3750998,-0.3764735,-0.3772478,-0.3787177,-0.3801159,-0.381933,-0.3838459,-0.3855887,-0.3869445,-0.3877796,-0.3888445,-0.3887386,-0.3876858,-0.3849352,-0.3821023,-0.3800175,-0.3776357,-0.3728363,-0.366081,-0.3609776,-0.3588545,-0.3570851,-0.3559273,-0.3563432,-0.3573503,-0.3577832,-0.3590123,-0.3610709,-0.3620806,-0.3620388,-0.3626164,-0.3647524,-0.3671542,-0.3680193,-0.3686014,-0.3686652,-0.3686295,-0.3695392,-0.3709923,-0.3715258,-0.3716719,-0.3715325,-0.3709199,-0.3700524,-0.3686538,-0.3664864,-0.3637427,-0.3603182,-0.3559028,-0.3505149,-0.3440872,-0.3380601,-0.3344722,-0.332175,-0.3293957,-0.3253179,-0.3199042,-0.3121504,-0.3017879,-0.2892175,-0.2749052,-0.2611239,-0.2493356,-0.2395456,-0.2313728,-0.2241456,-0.2166628,-0.2097926,-0.2076805,-0.2120883,-0.2181667,-0.2223009,-0.2244762,-0.2255331,-0.2256013,-0.2246442,-0.2229915,-0.2213744,-0.2200399,-0.2188417,-0.2174209,-0.2156417,-0.2130814,-0.2116613,-0.2114525,-0.2122245,-0.2132847,-0.2144065,-0.2158101,-0.2175232,-0.2197444,-0.2219551,-0.2242639,-0.2264085,-0.2283352,-0.2309861,-0.2345552,-0.2389465,-0.246795,-0.2582287,-0.2715697,-0.2839019,1961605
15.2,-0.2975667,-0.3061335,-0.3136011,-0.3187331,-0.3281363,-0.3396509,-0.3464351,-0.3505485,-0.3529311,-0.3548513,-0.3561676,-0.3561345,-0.3559977,-0.3553121,-0.3531753,-0.3507248,-0.3514484,-0.3552376,-0.3604761,-0.3643842,-0.3661742,-0.3673159,-0.3675932,-0.3678708,-0.3688286,-0.3691897,-0.3706442,-0.3719234,-0.3739089,-0.3759727,-0.378005,-0.3796322,-0.3806591,-0.3818874,-0.3819338,-0.3809521,-0.3780842,-0.3752488,-0.3730903,-0.3703438,-0.3643652,-0.3556623,-0.349656,-0.3482546,-0.3471878,-0.3469708,-0.3483053,-0.3504857,-0.351118,-0.3520774,-0.3535168,-0.3533618,-0.3518169,-0.3518677,-0.3539638,-0.3567754,-0.357585,-0.3580266,-0.3579178,-0.3574766,-0.3582759,-0.3596357,-0.359744,-0.3593892,-0.3587003,-0.3576984,-0.3565135,-0.3549418,-0.3527685,-0.3501368,-0.3468248,-0.3422638,-0.3359543,-0.3277269,-0.3202184,-0.3163978,-0.3143912,-0.3118259,-0.3078666,-0.3028669,-0.295553,-0.2858157,-0.2739182,-0.2599565,-0.2459235,-0.2331982,-0.2217531,-0.2111595,-0.2006222,-0.188821,-0.1769931,-0.1728895,-0.1798324,-0.1892445,-0.1948567,-0.1969983,-0.1973661,-0.1958979,-0.1930921,-0.1894381,-0.1858244,-0.1825051,-0.1794478,-0.1764749,-0.1737603,-0.1706601,-0.1688662,-0.1680241,-0.1681175,-0.1686068,-0.1692763,-0.1703435,-0.1719837,-0.1741228,-0.1762599,-0.1785437,-0.1809081,-0.1830809,-0.1860732,-0.1900877,-0.1951868,-0.2040477,-0.2171777,-0.2323529,-0.2464881,2131157115
15.5,-0.3298083,-0.3332493,-0.3365887,-0.3372601,-0.3437635,-0.3535504,-0.3591094,-0.3623437,-0.3643421,-0.3657834,-0.3669904,-0.3670905,-0.367101,-0.3673721,-0.3666795,-0.3659922,-0.3674628,-0.3702984,-0.3741668,-0.3773963,-0.379162,-0.380683,-0.3814247,-0.3821965,-0.3835196,-0.3840868,-0.3856869,-0.3869429,-0.388731,-0.3904977,-0.3921082,-0.3931335,-0.3936989,-0.3946267,-0.3944951,-0.3935778,-0.3911041,-0.3886906,-0.3868055,-0.3846816,-0.3804876,-0.3747773,-0.3705285,-0.3686062,-0.3669743,-0.3658374,-0.3660474,-0.3666906,-0.3669064,-0.3679075,-0.3698104,-0.3709096,-0.3711105,-0.3717757,-0.3737623,-0.376031,-0.3770227,-0.3777485,-0.3780014,-0.3780817,-0.3789672,-0.3801966,-0.3805357,-0.3806341,-0.3805156,-0.3799761,-0.37928,-0.3781797,-0.3763863,-0.3741322,-0.3712543,-0.3675434,-0.3631222,-0.357952,-0.352933,-0.3496145,-0.3472473,-0.3444256,-0.3404912,-0.3352432,-0.3277978,-0.3179701,-0.3059889,-0.2924359,-0.2796498,-0.2691625,-0.2609656,-0.2545795,-0.2493816,-0.2444203,-0.2401801,-0.2391963,-0.2425923,-0.2470993,-0.2503662,-0.2522569,-0.2534803,-0.253866,-0.2535374,-0.2526349,-0.2518673,-0.2512781,-0.2509584,-0.2503504,-0.2491618,-0.2470752,-0.246109,-0.2462278,-0.247218,-0.2485161,-0.2497509,-0.2510685,-0.2526771,-0.2547283,-0.2567996,-0.2589796,-0.2610739,-0.2628947,-0.2656759,-0.2695455,-0.2745889,-0.283664,-0.2975015,-0.3138731,-0.3294282,2151245
15.52,-0.2952598,-0.3034132,-0.3106334,-0.3147517,-0.3246531,-0.337514,-0.3449211,-0.3495711,-0.3523067,-0.354157,-0.3554985,-0.3553991,-0.3547261,-0.3538097,-0.3514479,-0.3487951,-0.3491903,-0.3533662,-0.3588157,-0.3628029,-0.3644333,-0.365696,-0.3658707,-0.3661935,-0.3671115,-0.3673849,-0.368883,-0.3701199,-0.3720728,-0.3742612,-0.3764306,-0.3780722,-0.379138,-0.3805261,-0.3805095,-0.379473,-0.3763779,-0.3733438,-0.3709598,-0.3679377,-0.3614616,-0.3521242,-0.3456366,-0.3440742,-0.3428689,-0.3426999,-0.3441027,-0.3463291,-0.3469603,-0.3479455,-0.3494064,-0.3492287,-0.3476537,-0.3477772,-0.3500895,-0.353132,-0.3540244,-0.3544258,-0.3541771,-0.3535635,-0.3543459,-0.3556474,-0.3557057,-0.3552735,-0.3545823,-0.3536387,-0.3525089,-0.3509626,-0.3487634,-0.3460456,-0.3424577,-0.337446,-0.3305336,-0.3215623,-0.3133675,-0.3092074,-0.3070385,-0.304373,-0.3004365,-0.2954448,-0.2881247,-0.2783236,-0.2662679,-0.2520379,-0.237584,-0.2242704,-0.2121079,-0.2007466,-0.1893353,-0.1765751,-0.1639348,-0.1595247,-0.166566,-0.1762535,-0.1820325,-0.1842136,-0.1845478,-0.1829323,-0.1800693,-0.1764106,-0.1727989,-0.1695403,-0.1664925,-0.1635548,-0.1607005,-0.1573496,-0.1554414,-0.1547404,-0.1547999,-0.1551689,-0.155719,-0.1565504,-0.157951,-0.1599676,-0.1620762,-0.1644625,-0.1669282,-0.1693323,-0.1726881,-0.1773349,-0.1837472,-0.1948805,-0.2111374,-0.2301347,-0.2481061,1868963812
15.4,-0.3041522,-0.3099474,-0.3154702,-0.3180745,-0.3265478,-0.3390911,-0.3462494,-0.3503624,-0.3527457,-0.3545767,-0.35575,-0.3557313,-0.3553708,-0.3549546,-0.352753,-0.3506559,-0.3512467,-0.3548616,-0.359825,-0.3636511,-0.365357,-0.3666884,-0.366935,-0.36723,-0.3682083,-0.3685422,-0.3700174,-0.3711859,-0.3731047,-0.3751507,-0.3771461,-0.3784954,-0.37939,-0.3805723,-0.3804928,-0.3795911,-0.3768171,-0.3741412,-0.3719757,-0.3692036,-0.3634519,-0.3553639,-0.3496324,-0.3480167,-0.346727,-0.3463292,-0.3474071,-0.3492423,-0.3497807,-0.3507021,-0.3521412,-0.3521592,-0.3510475,-0.3512382,-0.3532786,-0.356035,-0.3569375,-0.3574953,-0.3574888,-0.3572044,-0.358054,-0.3593332,-0.3594003,-0.3590818,-0.3585216,-0.3576206,-0.3565301,-0.3550428,-0.352908,-0.3503097,-0.3469723,-0.342402,-0.3363435,-0.3287173,-0.3216979,-0.3179526,-0.3158258,-0.313167,-0.3091585,-0.303955,-0.2964122,-0.2863069,-0.2738293,-0.2592492,-0.2448573,-0.2320002,-0.2207308,-0.2106594,-0.200857,-0.1901842,-0.179811,-0.1763764,-0.1827034,-0.1911751,-0.1963718,-0.1985371,-0.1991038,-0.1980652,-0.195864,-0.1929165,-0.1899189,-0.1871558,-0.1845846,-0.1820855,-0.1795117,-0.1764743,-0.1749041,-0.1743484,-0.174578,-0.175255,-0.1761361,-0.1773305,-0.1790321,-0.1812528,-0.1834593,-0.1858793,-0.1882799,-0.1905235,-0.1936764,-0.198127,-0.2041948,-0.2149547,-0.2314523,-0.2509822,-0.2697197,212.72
